Date,Close,High,Low,Open,Volume
2025-05-30,203649.015625,209126.12851466992,202155.25756418094,209126.12851466992,4826628
2025-06-02,206636.515625,207632.35425451808,202155.24179216867,204146.91905120484,1775752
2025-06-04,216594.90625,222072.01882183907,215599.0676005747,217092.82557471262,5108674
2025-06-05,223565.78125,229042.89393095768,221076.1845768374,224561.61991926504,5768506
2025-06-09,228047.0625,232528.33665393014,227051.22379912663,232030.41730349345,3666084
2025-06-10,229540.8125,231532.4898318872,226553.2965021692,230038.7318329718,3718655
2025-06-11,239001.28125,239997.11992187498,234022.087890625,235017.92656249998,4230421
2025-06-12,234520.0,245474.22505307855,234022.08067940554,241490.87048832272,4994238
2025-06-13,234520.0,241988.7898089172,232777.28237791933,239499.19320594482,4100610
2025-06-16,246967.984375,247465.90369833668,237009.59790826612,237009.59790826612,3760740
2025-06-17,247963.84375,258918.06977911646,246968.0050200803,251947.1986696787,5044669
2025-06-18,245474.21875,250951.33113590264,243980.460826572,244478.38013438135,4081001
2025-06-19,244976.296875,248959.65129573172,240992.9424542683,245972.13548018294,2317796
2025-06-20,255930.546875,255930.546875,246470.07918895915,247963.83724464983,3597877
2025-06-23,258420.125,261905.56021194605,247465.90004816957,251449.2545761079,3398736
2025-06-24,277341.0625,281822.33640035905,268378.5146992819,268876.434021544,5436312
2025-06-25,284809.875,290286.9879807692,282818.19755244756,287797.39117132867,5466598
2025-06-26,291780.71875,297257.8312180034,285805.6869667236,293274.4766958191,5894020
2025-06-27,282818.1875,293274.4937279929,279830.67143485916,286801.5422535211,5134863
2025-06-30,290784.90625,293274.5030500856,284809.8739297945,287299.47072988015,4375298
2025-07-01,284311.96875,293274.51767732046,284311.96875,289789.0819833625,3687981
2025-07-02,277838.96875,282320.2424395161,273357.6950604839,282320.2424395161,4702056
2025-07-03,277341.0625,282818.1750448833,275847.30453321367,279830.6591113106,3642140
2025-07-04,269374.34375,280328.5684496303,267880.585836414,278336.8912315157,3654933
2025-07-07,269872.28125,270868.11992619926,263399.3298547048,264893.0878690037,2523564
2025-07-08,280826.5,283814.0159574468,267382.67819148937,269872.27482269506,3119395
2025-07-09,279830.6875,282818.20373665483,276345.2518905694,281324.4456183274,2626484
2025-07-10,295764.0625,295764.0625,282320.2414772727,282818.16077441076,4556065
2025-07-11,293274.5,305224.56451612903,290784.9032258065,298253.6935483871,3732533
2025-07-14,298751.59375,301241.19036458334,291282.80390625,291282.80390625,2936976
2025-07-15,297257.84375,297257.84375,288793.21503350086,294768.2470686767,4196196
2025-07-16,294768.21875,298253.65376900334,291282.7837309966,297257.81519214524,3123297
2025-07-17,268378.5,288295.271799629,266884.74211502785,282320.24025974027,9328322
2025-07-18,267880.625,273855.65752788103,265888.94749070634,268876.46375464683,5359504
2025-07-21,271366.0,273357.6770642202,265390.96880733944,266386.80733944953,2424891
2025-07-22,267382.6875,272361.8809357542,265888.9294692738,271863.9615921788,3139858
2025-07-23,267880.625,269872.30250929366,263399.3506040892,266386.86686802976,3116279
2025-07-24,268378.5,277838.96660482377,267880.5807050093,275847.28942486085,3667144
2025-07-25,264893.09375,273855.6420347744,264395.17440084583,271863.96463815786,2171063
2025-07-28,260909.75,264395.18559160305,257424.31440839695,259913.911259542,2877357
2025-07-29,261407.65625,263897.2529761905,253440.94672619048,253440.94672619048,2944177
2025-07-30,262403.46875,264893.06522770395,259415.95297675522,261905.5494544592,2482807
2025-07-31,272361.875,272859.79433272395,264395.16567641683,269872.27833638026,3472644
2025-08-01,256926.375,265888.9229651163,255930.5363372093,264893.08430232556,3227394
2025-08-04,256926.375,258918.0523255814,252943.0203488372,253440.93968023255,2281558
2025-08-05,262403.46875,263399.30734108156,259415.95297675522,262901.3880455408,2118171
2025-08-06,257424.28125,259415.95847437138,256428.44263781433,259415.95847437138,1374559
2025-08-07,260909.75,261905.588740458,248959.6851145038,256926.39503816792,2724438
2025-08-08,255432.609375,264893.0763888889,254436.77074195907,260909.72185672514,2676174
2025-08-11,265888.9375,266386.85685861425,258918.06647940073,259415.98583801498,2415473
2025-08-12,267880.625,274851.49628252786,266386.86686802976,266884.78624535317,3008648
2025-08-13,276843.15625,277838.99494154676,272859.801483813,276843.15625,3472694
2025-08-14,275349.40625,276345.24497061485,269374.37392631103,276345.24497061485,2101050
2025-08-18,266386.84375,270868.11775700934,265888.92441588786,270868.11775700934,1993220
2025-08-19,261905.5625,268876.4329847909,260411.80453897337,267382.67502376426,1709646
2025-08-20,254436.765625,255930.52354452055,249955.49186643833,253440.9270119863,3571545
2025-08-21,243980.453125,249955.48463010203,243980.453125,245474.21100127551,6301130
2025-08-22,249955.484375,251449.242249751,244478.37216757968,244478.37216757968,3064062
2025-08-25,258420.125,260411.80226396918,252943.0125240848,254934.68978805395,3183709
2025-08-26,260411.8125,261407.65117112812,255930.53847992353,258420.1351577438,2050625
2025-08-27,258918.046875,259913.8855168269,254934.6923076923,257922.20823317306,2801594
2025-08-28,267768.875,267768.875,252311.08147113593,253308.35847299814,3836024
2025-08-29,268267.53125,269264.8083178439,265275.7000464684,267270.2541821561,1892127
2025-09-01,255302.921875,260289.3070678711,254305.64483642578,258793.39151000977,1837054
2025-09-02,259790.671875,260787.94892634355,255302.92514395394,255302.92514395394,1584710
2025-09-03,261785.21875,264777.04982142855,257048.15288690475,258793.38767857142,2437896
2025-09-04,264777.09375,270262.11829096044,263779.81656073447,266273.0095338983,2189959
2025-09-05,272755.25,274251.1654478976,271259.3345521024,272256.6115173675,3103427
2025-09-08,276245.71875,278240.2726759928,273253.88786101085,277741.6341944946,2018299
2025-09-09,287215.78125,287714.4197591146,276245.7340494792,277243.0110677083,4158342
2025-09-10,303172.21875,304169.49578536185,292202.1713610197,293698.0869140625,5265553
2025-09-11,306164.0625,314142.27911237784,304668.14688517916,309155.8937296417,5148088
2025-09-12,327605.5,328602.77701674274,318131.36834094365,321123.199391172,4242516
2025-09-15,330098.6875,340570.096015861,324115.02549093653,338575.54201283987,4221256
2025-09-16,347052.40625,353036.0684267241,330597.3352640086,330597.3352640086,5841135
2025-09-17,332591.90625,341567.39997188904,332591.90625,340071.4843515742,4498866
2025-09-18,354532.0,356027.91561181436,335583.735583685,337578.28973277076,4526286
2025-09-22,350044.25,358022.4665242165,344309.90687321936,348049.69586894586,4377563
2025-09-23,360017.03125,362011.5854397507,352038.81449099723,354532.0072281856,3315336
2025-09-24,356526.53125,363008.8318181818,347551.0381555944,358022.44676573423,4165199
2025-09-25,355529.28125,358022.47396563814,348548.3416462132,351041.53436185134,2148215
2025-09-26,335583.75,348049.71396731056,332093.28008915304,346553.7982912333,3685324
2025-09-29,348049.6875,350044.2415830945,338076.9170845272,338575.5556053009,2275986
2025-09-30,346553.78125,355529.2748651079,346553.78125,352038.80512589926,2238614
2025-10-01,359019.75,361014.30416666664,350044.25625,350044.25625,2802437
2025-10-02,394423.0625,403398.555704804,382954.37673830596,387442.12334070797,7430763
2025-10-10,426834.5625,438053.92892085284,415365.87682535045,424840.0084696262,6835852
2025-10-13,413869.96875,414368.60726656625,401902.64435240964,404395.83693524095,4356534
2025-10-14,410379.5,435311.42588092346,405393.1148238153,423842.73997569864,4101275
2025-10-15,421349.5625,422845.47810650885,405891.76789940824,409382.237647929,2688019
2025-10-16,451267.875,453761.067679558,419355.00870165747,419853.6472375691,4247934
2025-10-17,464232.46875,473706.6007653061,448276.035882116,450270.58999060147,4541583
2025-10-20,484178.0,484178.0,464232.4593202884,476199.7837281153,3333903
2025-10-21,477695.6875,500633.05871607515,476698.4104906054,495646.67366910225,4126858
2025-10-22,480188.90625,480687.54478193144,467722.9429517134,473706.60533489095,3870276
2025-10-23,477197.0625,487169.8328761755,466725.65360501566,468720.20768025075,3583993
2025-10-24,508611.28125,511603.11231617647,490161.65634191176,491657.57187499997,4254202
2025-10-27,533543.25,535537.8042056075,521575.92476635514,531548.6957943925,3381231
2025-10-28,519581.34375,525565.0060580614,507614.0191338771,519581.34375,5659008
2025-10-29,556480.625,557477.9021057348,521575.92629928316,536535.0828853047,4803031
2025-10-30,566453.375,577423.4227552817,550496.9419014085,556480.6043133803,4888461
2025-10-31,557477.875,564458.8144007156,550496.9355992845,555483.3208855098,3351809
2025-11-03,618311.75,622300.8580645161,553488.743951613,555483.297983871,5787058
2025-11-04,584404.3125,612328.0680460751,581412.4815486348,609336.2370947099,5969769
2025-11-05,577423.375,585401.5908894646,530551.3566493955,561466.9432210708,8976222
2025-11-06,591385.3125,605347.1917158517,581412.5416315346,600360.8062816189,5321244
2025-11-07,578420.6875,597368.9514008621,563461.531788793,575428.8563577586,4789397
2025-11-10,604349.875,613325.3681930694,579417.9494636963,582409.7805280528,4893645
2025-11-11,617314.4375,644240.9153877221,602355.2831179322,620306.2683764135,5508697
2025-11-12,615319.875,618311.705834684,599363.4438816856,603352.5516612642,2831484
2025-11-13,610333.5625,620306.3331290849,605347.1771854575,605347.1771854575,3875541
2025-11-14,558475.1875,583407.1155133928,558475.1875,577423.4527901786,5778374
2025-11-17,604349.875,604349.875,582409.7805280528,586398.8886138614,4470947
2025-11-18,568447.875,589390.6914473685,568447.875,581412.4756578947,3544391
2025-11-19,560469.75,568447.9670818505,544513.315836299,561467.0271352313,4529736
2025-11-20,569445.25,595374.4557793345,568447.9728546409,593379.9014886165,4670237
2025-11-21,519581.34375,529554.1142634357,512600.404390595,516589.51259596925,6646712
2025-11-24,518584.0625,540524.157451923,515592.2313701923,529554.1099759615,6399162
2025-11-25,517586.78125,548502.369340077,516589.5042148362,544513.261199422,3716730
2025-11-26,522573.1875,526562.2958015268,499635.8147662214,511603.1396708015,5127393
2025-11-27,542907.25,554883.1452205882,531929.3460477941,533925.3285845588,3654092
2025-11-28,528935.375,550891.183018868,528935.375,549893.1917452831,2680138
2025-12-01,536919.3125,543905.251510223,523945.42576672864,540911.2776486989,3134704
2025-12-02,556879.125,557877.1162634408,540911.2647849462,546899.2123655914,2686580
2025-12-03,550891.1875,557877.1264719203,542907.2572463768,548895.2049365942,2586619
2025-12-04,540911.25,541909.2412361624,530931.3376383764,540911.25,2858305
2025-12-05,542907.25,544903.2325367647,525941.3984375,528935.3722426471,3204933
2025-12-08,575840.9375,578834.9111785096,531929.3235485269,541909.2358102254,4288433
2025-12-09,564863.0625,573844.9839885159,562867.0799469964,567857.0363295053,2391174
2025-12-10,585820.875,591808.8226149915,568855.0234241908,569853.0146933561,3986083
2025-12-11,563865.125,587816.9179203539,563865.125,581828.9696902655,4021907
2025-12-12,569853.0625,577836.9933231174,558875.1576182137,563865.114382662,2646148
2025-12-15,552887.1875,562368.1049751805,533925.352549639,533925.352549639,2482125
2025-12-16,528935.375,549893.1917452831,528935.375,543905.2441037736,3287998
2025-12-17,549893.1875,552887.1612976406,523945.41458711436,528935.3709165155,2692626
2025-12-18,550891.1875,561869.0915987318,535921.3182744565,536919.3095561594,2959059
2025-12-19,545901.25,568855.050274223,545901.25,567857.0589579524,3440005
2025-12-22,578834.9375,578834.9375,565861.0509698276,572846.9898706897,2878464
2025-12-23,582826.9375,591808.8594820206,579832.9635059931,583824.9288313356,2011188
2025-12-24,586818.875,589812.8488520408,582826.9098639456,585820.8837159864,2160697
2025-12-26,597796.8125,603784.7605383974,588814.890442404,592806.8558013355,4243548
2025-12-29,638714.4375,638714.4375,623744.5678710938,628734.5244140625,4176151
2025-12-30,649692.375,657676.305875576,632726.5218894009,637716.478686636,4094603
2026-01-02,675640.0625,677636.0449593796,645700.3256093058,649692.2905280651,4181895
2026-01-05,694601.9375,698593.902658046,682626.0420258621,696597.920079023,4337511
2026-01-06,724541.6875,725539.6788050964,669652.165719697,688614.000516529,4830275
2026-01-07,740509.5,760469.3247978437,726537.6226415094,758473.3423180593,5693115
2026-01-08,754481.4375,786417.1597222222,729531.6545138889,729531.6545138889,6496379
2026-01-09,742505.5,754481.3951612903,725539.6485215054,742505.5,4343703
2026-01-12,747495.4375,760469.3235981308,733523.5601635515,753483.3849299066,3329793
2026-01-13,736517.5625,752485.4229336043,722545.6846205962,751487.431656504,3771944
2026-01-14,740509.5,748493.4299191375,726537.6226415094,731527.5788409704,4885051
2026-01-15,747495.4375,748493.4287383178,725539.6302570094,730529.5864485982,3003414
2026-01-16,754481.4375,761467.3767361111,745499.515625,749491.4809027778,3712326
2026-01-19,762465.3125,772445.2249672775,748493.4350458115,753483.3912794503,3392008
2026-01-20,741507.5,762465.3162853298,735519.5524899059,762465.3162853298,2762369
2026-01-21,738513.5,754481.3594594594,726537.6054054054,727535.5966216216,5108442
2026-01-22,753483.375,771447.2170529801,749491.4100993378,764461.2784768213,3545309
2026-01-23,765459.3125,774441.2340286832,742505.5130378096,752485.4258474576,3508272
2026-01-26,734521.5625,752485.4050611412,734521.5625,751487.4138077445,3133330
2026-01-27,798393.0,798393.0,731527.58625,736517.5425,5660198
2026-01-28,839310.625,852284.5109988109,801386.958234245,808372.8968489893,6708497
2026-01-29,859270.5,882224.2996515679,817354.8658536585,877234.3432055749,6837983
2026-01-30,907174.0625,929129.8703932894,851286.5514988999,852284.5427667768,7875195
2026-02-02,828332.75,886216.2433734939,828332.75,868252.4006024096,7634191
2026-02-03,905178.125,905178.125,869250.4375689086,872244.4115214995,5272538
2026-02-04,898192.125,904180.0725,881226.27375,882224.265,3800763
2026-02-05,840308.6875,875238.3835362233,836316.7222387174,849290.609337886,5473720
2026-02-06,837314.6875,848292.5916269368,789411.1058551847,803382.9838349225,5581574
2026-02-09,885218.25,897194.1451521984,871246.3723224351,896196.1538895152,4228584
2026-02-10,874240.375,903182.1225742009,874240.375,892204.2183219178,3441377
2026-02-11,858272.4375,872244.3143895349,846296.5430232559,858272.4375,3125590
2026-02-12,886216.25,892204.1976351351,876236.3372747748,880228.3023648649,4619344
2026-02-13,878232.3125,901186.1115767045,876236.3299715909,887214.2338778409,3534047
2026-02-19,892204.1875,911166.021462528,886216.239932886,903182.0913730426,3285109
2026-02-20,947093.6875,953081.6349446786,879230.2831269758,890208.1867755533,5054333
2026-02-23,949089.6875,978031.4340168244,939109.7749079915,978031.4340168244,3523887
2026-02-24,1002981.25,1002981.25,944099.7636815921,950087.711442786,4102382
2026-02-25,1015955.125,1035914.9506385069,1001983.2470530452,1009967.1773084479,3462525
2026-02-26,1098816.25,1098816.25,1022828.9570063695,1023828.7898089172,4461976
2026-02-27,1060822.625,1095816.7737983034,1047824.7983034872,1049824.4639491045,6453062
2026-03-03,938843.0,1039826.112886049,938843.0,1021829.1224707135,6818327
2026-03-04,848858.0625,953840.5083922261,845858.5640459363,893850.539310954,9253420
2026-03-05,940842.6875,991834.1615302869,926845.0279622742,975836.8363443146,6442459
2026-03-06,923845.5,937843.1590909091,884852.0211038961,911847.5064935065,3744322
2026-03-09,835860.25,863855.5693779904,807864.9306220096,850857.7425239235,7253621
2026-03-10,937843.1875,949841.1813699361,898849.7074227079,914847.0325826226,5304897
2026-03-11,954840.3125,984835.2961387434,940842.6534685864,953840.4797120418,3916098
2026-03-12,929844.5,962838.9822580644,927844.8344086021,937843.1623655914,3711742
2026-03-13,909847.875,928844.6987637363,883852.2214285715,890851.0512362638,3645102
2026-03-16,973837.125,974836.9577772074,923845.4861396303,924845.3189168378,3829496
2026-03-17,969837.8125,1009831.1243556702,968837.9797036083,1008831.2915592784,3326240
2026-03-18,1055823.5,1059822.8314393938,998833.0269886364,999832.8598484847,4347884
2026-03-19,1012830.625,1042825.6089585391,1002832.2970138204,1007831.4610069102,3347483
2026-03-20,1006831.625,1025828.4481132075,1001832.4610228401,1022828.9497269116,3426646
2026-03-23,932844.0,962838.9839228296,926845.0032154341,951840.8231511255,3911813
2026-03-24,985835.125,993833.7872718052,937843.1513691683,992833.9544878296,4352152
2026-03-25,994833.625,1041825.766080402,987834.7954773869,1015830.1135678391,4463869
2026-03-26,932844.0,972837.3118971061,930844.3344051447,964838.649517685,4660620
2026-03-27,932844.0,933843.8327974277,879852.8617363344,889851.1897106109,4520942
2026-03-30,872854.0625,883852.2236540664,861855.9013459336,866855.065506873,4498502
2026-03-31,806865.0625,851857.5381040892,805865.229708798,816863.3904120198,7194351
2026-04-01,896850.0,904848.6622073578,857856.5217391304,883852.1739130435,6255058
2026-04-02,829861.25,913847.2078313254,817863.2560240964,911847.5421686748,6127534
2026-04-03,875853.5625,885851.8908390411,859856.2371575342,866855.066994863,2927164
2026-04-06,885851.875,901349.2836484199,868854.7171275396,876853.3796557563,3100989
2026-04-07,915846.875,932844.0331604803,887851.5556768558,916846.7078329694,3619929
2026-04-08,1032827.3125,1055823.467570184,991834.1665053243,1006831.6589424007,6709356
2026-04-09,997833.125,1024828.6103456914,989834.4626753507,1014830.2824398798,5026817
2026-04-10,1026828.3125,1041825.8048928919,1023828.8140214216,1029827.8109785784,3134921
2026-04-13,1039826.125,1042825.6234375,995833.48125,998832.9796875,2769753
2026-04-14,1102815.625,1127811.4460562102,1077819.8039437896,1091817.4637352675,4754545
2026-04-15,1135810.125,1172803.940691021,1129811.1278609154,1164805.2778389084,4093703
2026-04-16,1154806.875,1160805.8717532468,1129811.0551948051,1140809.2159090908,2901319
2026-04-17,1127811.375,1154806.8600398935,1120812.5455452127,1148807.8633643617,3578235
2026-04-20,1165805.0,1174803.4948542023,1140809.1809605488,1147808.0102915952,3748014
2026-04-21,1223795.375,1227794.7062908497,1192800.5574959149,1195800.0559640522,3516960
